Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,ST3000VN007,Seagate,IronWolf 3TB (2016),50,85.2,2836,https://hdd.userbenchmark.com/Seagate-IronWolf-3TB-2016/Rating/3905
HDD,HDWE160XZSTA,Toshiba,X300 6TB,51,84.8,4014,https://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594
HDD,HDWE160EZSTA,Toshiba,X300 6TB,51,84.8,4014,https://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594
HDD,PH3500U-1I72,Toshiba,MD04ACA500 5TB,52,84.7,2632,https://hdd.userbenchmark.com/Toshiba-MD04ACA500-5TB/Rating/3526
HDD,HDWD110XZSTA,Toshiba,P300 1TB,53,84.6,225398,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,HDWD110EZSTA,Toshiba,P300 1TB,53,84.6,225398,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,HDWD110UZSVA,Toshiba,P300 1TB,53,84.6,225398,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,,Toshiba,DT01ACA300 3TB,54,84.6,74964,https://hdd.userbenchmark.com/Toshiba-DT01ACA300-3TB/Rating/2735
HDD,ST2000DX002,Seagate,FireCuda SSHD 2TB (2016),55,84.4,103995,https://hdd.userbenchmark.com/Seagate-FireCuda-SSHD-2TB-2016/Rating/3903
HDD,ST3000VX010,Seagate,SkyHawk 3TB (2016),56,84.4,1519,https://hdd.userbenchmark.com/SpeedTest/237204/ST3000VX010-2E3166
HDD,WD4001FFSX,WD,Red Pro 4TB (2014),57,84.1,514,https://hdd.userbenchmark.com/WD-Red-Pro-4TB-2014/Rating/2664
HDD,WD10EZEX,WD,Blue 1TB (2012),58,84,2504314,https://hdd.userbenchmark.com/WD-Blue-1TB-2012/Rating/1779
HDD,WD1003FZEX,WD,Black 1TB (2013),59,83.8,208393,https://hdd.userbenchmark.com/WD-Black-1TB-2013/Rating/1822
HDD,PH3400U-1I72,Toshiba,MD04ACA400 4TB,60,83.8,7112,https://hdd.userbenchmark.com/Toshiba-MD04ACA400-4TB/Rating/3202
HDD,ST1000NM0033,Seagate,Constellation ES.3 1TB,61,83.6,7460,https://hdd.userbenchmark.com/SpeedTest/7297/ST1000NM0033-9ZM173
HDD,ST1000DX001,Seagate,Desktop SSHD 1TB,62,83.4,85491,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-1TB/Rating/1784
HDD,ST2000VN004,Seagate,IronWolf 2TB (2016),63,83.2,4060,https://hdd.userbenchmark.com/SpeedTest/245098/ST2000VN004-2E4164
HDD,ST3300657SS,Seagate,Cheetah 15K.7 SAS 300GB,64,83.1,905,https://hdd.userbenchmark.com/SpeedTest/9679/SEAGATE-ST3300657SS
HDD,ST2000DX001,Seagate,Desktop SSHD 2TB,65,83,78651,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-2TB/Rating/1783
HDD,STCL2000400,Seagate,Desktop SSHD 2TB,65,83,78651,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-2TB/Rating/1783
HDD,WD40PURZ,WD,Purple Surveillance 4TB (2017),66,82.9,5325,https://hdd.userbenchmark.com/SpeedTest/433989/WDC-WD40PURZ-85T
HDD,WD40EZRZ,WD,Blue 4TB (2015),67,82.8,90815,https://hdd.userbenchmark.com/WD-Blue-4TB-2015/Rating/3523
HDD,ST4000DM005,Seagate,Barracuda 4TB (2016),68,82.7,28261,https://hdd.userbenchmark.com/Seagate-Barracuda-4TB-2016/Rating/3899
HDD,ST6000VX0023,Seagate,SkyHawk 6TB (2016),69,82.2,84,https://hdd.userbenchmark.com/SpeedTest/219872/ST6000VX0023-2EF110
HDD,WD3003FZEX,WD,Black 3TB (2013),70,82.1,11402,https://hdd.userbenchmark.com/SpeedTest/5002/WDC-WD3003FZEX-00Z4SA0
HDD,,Toshiba,DT01ACA100 1TB,71,82.1,632885,https://hdd.userbenchmark.com/Toshiba-DT01ACA100-1TB/Rating/2737
HDD,WD3000FYYZ,WD,Re 3TB (2012),72,81.9,1580,https://hdd.userbenchmark.com/WD-Re-3TB-2012/Rating/2665
HDD,ST500DM009,Seagate,Barracuda 500GB (2016),73,81.7,10884,https://hdd.userbenchmark.com/Seagate-Barracuda-500GB-2016/Rating/3909
HDD,ST1000DX002,Seagate,FireCuda SSHD 1TB (2016),74,81.5,52253,https://hdd.userbenchmark.com/Seagate-FireCuda-SSHD-1TB-2016/Rating/3902
HDD,ST2000VX008,Seagate,SkyHawk 2TB (2016),75,81.4,5581,https://hdd.userbenchmark.com/SpeedTest/211060/ST2000VX008-2E3164
HDD,WD4000F9YZ,WD,Se 4TB,76,81.1,1993,https://hdd.userbenchmark.com/WD-Se-4TB/Rating/1823
HDD,WD80PURZ,WD,Purple Surveillance 8TB (2017),77,81,205,https://hdd.userbenchmark.com/SpeedTest/382445/WDC-WD80PURZ-85YNPY0
HDD,WD4003FZEX,WD,Black 4TB (2013),78,80.8,15263,https://hdd.userbenchmark.com/SpeedTest/3505/WDC-WD4003FZEX-00Z4SA0
HDD,WD5003AZEX,WD,Black 500GB (2012),79,80.8,20635,https://hdd.userbenchmark.com/SpeedTest/2070/WDC-WD5003AZEX-00K1GA0
HDD,,Hitachi,HDS723030BLE640 3TB,80,80.3,694,https://hdd.userbenchmark.com/SpeedTest/4601/Hitachi-HDS723030BLE640
HDD,WD60PURZ,WD,Purple Surveillance 6TB (2017),81,80.1,996,https://hdd.userbenchmark.com/SpeedTest/342114/WDC-WD60PURZ-85ZUFY1
HDD,WD1002F9YZ,WD,Se 1TB (2013),82,79.9,1672,https://hdd.userbenchmark.com/SpeedTest/11078/WDC-WD1002F9YZ-09H1JL0
HDD,ST1000VX005,Seagate,SkyHawk 1TB (2016),83,79.9,5617,https://hdd.userbenchmark.com/SpeedTest/225246/ST1000VX005-2EZ102
