Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Core i5-3330S,422,64.9,3541,https://cpu.userbenchmark.com/SpeedTest/4366/IntelR-CoreTM-i5-3330S-CPU---270GHz
CPU,,Intel,Core i7-4710HQ,423,64.9,68186,https://cpu.userbenchmark.com/SpeedTest/11499/IntelR-CoreTM-i7-4710HQ-CPU---250GHz
CPU,,Intel,Xeon W3530,424,64.9,4584,https://cpu.userbenchmark.com/SpeedTest/3000/IntelR-XeonR-CPU-----------W3530----280GHz
CPU,,Intel,Core i5-10210U,425,64.9,31965,https://cpu.userbenchmark.com/SpeedTest/819403/IntelR-CoreTM-i5-10210U-CPU---160GHz
CPU,AW8063801013511,Intel,Core i7-3610QM,426,64.9,30450,https://cpu.userbenchmark.com/Intel-Core-i7-3610QM/Rating/2730
CPU,,AMD,Ryzen 5 2600H,427,64.7,165,https://cpu.userbenchmark.com/SpeedTest/617618/AMD-Ryzen-5-2600H-with-Radeon-Vega-Graphics
CPU,BX80646I34340,Intel,Core i3-4340,428,64.5,769,https://cpu.userbenchmark.com/Intel-Core-i3-4340/Rating/2877
CPU,BX80662I36300T,Intel,Core i3-6300T,429,64.4,120,https://cpu.userbenchmark.com/SpeedTest/75733/IntelR-CoreTM-i3-6300T-CPU---330GHz
CPU,,Intel,Core i5-2405S,430,64.4,161,https://cpu.userbenchmark.com/SpeedTest/10048/IntelR-CoreTM-i5-2405S-CPU---250GHz
CPU,AW8063801106200,Intel,Core i7-3630QM,431,64.3,55297,https://cpu.userbenchmark.com/Intel-Core-i7-3630QM/Rating/626
CPU,BX80605I5750,Intel,Core i5-750,432,64.1,43589,https://cpu.userbenchmark.com/Intel-Core-i5-750/Rating/2773
CPU,,AMD,Ryzen 9 4900U,433,64.1,1,https://cpu.userbenchmark.com/SpeedTest/1097507/AMD-Ryzen-9-4900U-with-Radeon-Graphics
CPU,BX80677I37100,Intel,Core i3-7100,434,64.1,67950,https://cpu.userbenchmark.com/Intel-Core-i3-7100/Rating/3891
CPU,,Intel,Core i7-4770HQ,435,64,1377,https://cpu.userbenchmark.com/SpeedTest/18784/IntelR-CoreTM-i7-4770HQ-CPU---220GHz
CPU,,Intel,Core i5-6300HQ,436,63.9,44171,https://cpu.userbenchmark.com/SpeedTest/38166/IntelR-CoreTM-i5-6300HQ-CPU---230GHz
CPU,BX80601920,Intel,Core i7-920,437,63.9,56230,https://cpu.userbenchmark.com/Intel-Core-i7-920/Rating/1981
CPU,,AMD,Ryzen 7 2800H,438,63.8,52,https://cpu.userbenchmark.com/SpeedTest/667422/AMD-Ryzen-7-2800H-with-Radeon-Vega-Graphics
CPU,,Intel,Core i7-4750HQ,439,63.8,4480,https://cpu.userbenchmark.com/SpeedTest/3709/IntelR-CoreTM-i7-4750HQ-CPU---200GHz
CPU,,Intel,Core i3-1115G4,440,63.7,1012,https://cpu.userbenchmark.com/SpeedTest/1333512/11th-Gen-IntelR-CoreTM-i3-1115G4---300GHz
CPU,CM8068403360212,Intel,Pentium G5400T,441,63.6,127,https://cpu.userbenchmark.com/SpeedTest/528812/IntelR-PentiumR-Gold-G5400T-CPU---310GHz
CPU,FJ8068404064405,Intel,Core i7-8565U,442,63.5,63874,https://cpu.userbenchmark.com/SpeedTest/591977/IntelR-CoreTM-i7-8565U-CPU---180GHz
CPU,FJ8068404064604,Intel,Core i5-8265U,443,63.5,64118,https://cpu.userbenchmark.com/SpeedTest/566107/IntelR-CoreTM-i5-8265U-CPU---160GHz
CPU,,Intel,Core i7-7567U,444,63.4,1719,https://cpu.userbenchmark.com/SpeedTest/219709/IntelR-CoreTM-i7-7567U-CPU---350GHz
